2022-10-04 19:16:06,281 - ERROR - Rank 0 | Episode Reward: 9876.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 4 | Global Worker Step: 4000| Sparsification ratio : 4.612
2022-10-04 19:17:56,232 - ERROR - Rank 0 | Episode Reward: 9801.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 9 | Global Worker Step: 9000| Sparsification ratio : 8.723
2022-10-04 19:19:46,073 - ERROR - Rank 0 | Episode Reward: 9096.64 | Success cnt: 10 | Local Step: 1000 | Global Episode: 14 | Global Worker Step: 14000| Sparsification ratio : 27.733
2022-10-04 19:21:36,454 - ERROR - Rank 0 | Episode Reward: 9870.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 19 | Global Worker Step: 19000| Sparsification ratio : 30.726
2022-10-04 19:23:25,184 - ERROR - Rank 0 | Episode Reward: 9863.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 24 | Global Worker Step: 24000| Sparsification ratio : 51.099
2022-10-04 19:25:14,907 - ERROR - Rank 0 | Episode Reward: 9857.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 29 | Global Worker Step: 29000| Sparsification ratio : 50.261
2022-10-04 19:27:03,123 - ERROR - Rank 0 | Episode Reward: 9816.63 | Success cnt: 10 | Local Step: 1000 | Global Episode: 34 | Global Worker Step: 34000| Sparsification ratio : 55.128
2022-10-04 19:28:51,450 - ERROR - Rank 0 | Episode Reward: 9906.05 | Success cnt: 10 | Local Step: 1000 | Global Episode: 37 | Global Worker Step: 37000| Sparsification ratio : 59.357
2022-10-04 19:30:39,921 - ERROR - Rank 0 | Episode Reward: 9905.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 42 | Global Worker Step: 42000| Sparsification ratio : 63.697
2022-10-04 19:32:28,736 - ERROR - Rank 0 | Episode Reward: 10001.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 47 | Global Worker Step: 47000| Sparsification ratio : 66.971
2022-10-04 19:34:17,383 - ERROR - Rank 0 | Episode Reward: 9895.02 | Success cnt: 10 | Local Step: 1000 | Global Episode: 52 | Global Worker Step: 52000| Sparsification ratio : 70.001
2022-10-04 19:36:06,433 - ERROR - Rank 0 | Episode Reward: 9692.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 57 | Global Worker Step: 57000| Sparsification ratio : 72.951
2022-10-04 19:37:57,774 - ERROR - Rank 0 | Episode Reward: 9783.71 | Success cnt: 10 | Local Step: 1000 | Global Episode: 62 | Global Worker Step: 62000| Sparsification ratio : 74.083
2022-10-04 19:39:50,122 - ERROR - Rank 0 | Episode Reward: 9993.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 67 | Global Worker Step: 67000| Sparsification ratio : 76.182
2022-10-04 19:41:38,967 - ERROR - Rank 0 | Episode Reward: 9818.04 | Success cnt: 10 | Local Step: 1000 | Global Episode: 72 | Global Worker Step: 72000| Sparsification ratio : 77.984
