2022-11-25 17:14:32,196 - ERROR - Rank 0 | Episode Reward: 3566.88 | Success cnt: 10 | Local Step: 1000 | Global Episode: 10 | Global Worker Step: 9828| Sparsification ratio : 44.324
2022-11-25 17:16:22,976 - ERROR - Rank 0 | Episode Reward: 3528.20 | Success cnt: 9 | Local Step: 1000 | Global Episode: 15 | Global Worker Step: 14828| Sparsification ratio : 55.579
2022-11-25 17:18:11,471 - ERROR - Rank 0 | Episode Reward: 3563.77 | Success cnt: 10 | Local Step: 1000 | Global Episode: 20 | Global Worker Step: 19828| Sparsification ratio : 67.499
2022-11-25 17:19:59,523 - ERROR - Rank 0 | Episode Reward: 3571.64 | Success cnt: 10 | Local Step: 1000 | Global Episode: 24 | Global Worker Step: 23828| Sparsification ratio : 71.619
2022-11-25 17:21:48,178 - ERROR - Rank 0 | Episode Reward: 3571.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 28 | Global Worker Step: 27828| Sparsification ratio : 77.335
2022-11-25 17:23:35,823 - ERROR - Rank 0 | Episode Reward: 3568.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 33 | Global Worker Step: 32828| Sparsification ratio : 83.503
2022-11-25 17:25:24,698 - ERROR - Rank 0 | Episode Reward: 3567.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 38 | Global Worker Step: 37732| Sparsification ratio : 82.714
2022-11-25 17:27:10,278 - ERROR - Rank 0 | Episode Reward: 3556.49 | Success cnt: 10 | Local Step: 1000 | Global Episode: 43 | Global Worker Step: 42732| Sparsification ratio : 84.789
2022-11-25 17:29:37,114 - ERROR - Rank 0 | Episode Reward: 3567.07 | Success cnt: 9 | Local Step: 1000 | Global Episode: 50 | Global Worker Step: 49193| Sparsification ratio : 86.585
2022-11-25 17:31:24,164 - ERROR - Rank 0 | Episode Reward: 3566.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 55 | Global Worker Step: 54193| Sparsification ratio : 90.077
2022-11-25 17:33:11,050 - ERROR - Rank 0 | Episode Reward: 3582.38 | Success cnt: 10 | Local Step: 1000 | Global Episode: 59 | Global Worker Step: 58193| Sparsification ratio : 89.617
