2022-09-26 16:04:58,291 - ERROR - Rank 0 | Episode Reward: 8446.79 | Success cnt: 9 | Local Step: 1000 | Global Episode: 357 | Global Worker Step: 10139
2022-09-26 16:15:07,187 - ERROR - Rank 0 | Episode Reward: 9347.60 | Success cnt: 10 | Local Step: 1000 | Global Episode: 369 | Global Worker Step: 20962
2022-09-26 16:24:31,456 - ERROR - Rank 0 | Episode Reward: 9352.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 379 | Global Worker Step: 30962
2022-09-26 16:33:55,435 - ERROR - Rank 0 | Episode Reward: 9347.61 | Success cnt: 10 | Local Step: 1000 | Global Episode: 389 | Global Worker Step: 40962
2022-09-26 16:43:19,917 - ERROR - Rank 0 | Episode Reward: 9354.03 | Success cnt: 10 | Local Step: 1000 | Global Episode: 399 | Global Worker Step: 50962
2022-09-26 16:52:02,124 - ERROR - Rank 0 | Episode Reward: 9355.85 | Success cnt: 10 | Local Step: 1000 | Global Episode: 409 | Global Worker Step: 60192
2022-09-26 17:01:25,431 - ERROR - Rank 0 | Episode Reward: 9355.31 | Success cnt: 10 | Local Step: 1000 | Global Episode: 419 | Global Worker Step: 70192
2022-09-26 17:10:49,544 - ERROR - Rank 0 | Episode Reward: 9354.67 | Success cnt: 10 | Local Step: 1000 | Global Episode: 429 | Global Worker Step: 80192
2022-09-26 17:20:50,331 - ERROR - Rank 0 | Episode Reward: 9328.99 | Success cnt: 10 | Local Step: 1000 | Global Episode: 441 | Global Worker Step: 90866
2022-09-26 17:29:32,596 - ERROR - Rank 0 | Episode Reward: 9357.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 451 | Global Worker Step: 100102
2022-09-26 17:38:56,276 - ERROR - Rank 0 | Episode Reward: 9354.23 | Success cnt: 10 | Local Step: 1000 | Global Episode: 461 | Global Worker Step: 110102
2022-09-26 17:48:26,645 - ERROR - Rank 0 | Episode Reward: 9343.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 472 | Global Worker Step: 120230
