2022-09-26 15:56:16,075 - INFO - Rank 0 | Global Episode: 1 | Episode Reward: 36.04 | Local step: 4 | Global worker step: 4 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,078 - INFO - Rank 0 | Global Episode: 2 | Episode Reward: 54.61 | Local step: 6 | Global worker step: 10 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,080 - INFO - Rank 0 | Global Episode: 3 | Episode Reward: 45.53 | Local step: 5 | Global worker step: 15 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,082 - INFO - Rank 0 | Global Episode: 4 | Episode Reward: 64.25 | Local step: 7 | Global worker step: 22 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,085 - INFO - Rank 0 | Global Episode: 5 | Episode Reward: 45.18 | Local step: 5 | Global worker step: 27 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,086 - INFO - Rank 0 | Global Episode: 6 | Episode Reward: 36.15 | Local step: 4 | Global worker step: 31 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,089 - INFO - Rank 0 | Global Episode: 7 | Episode Reward: 63.92 | Local step: 7 | Global worker step: 38 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,092 - INFO - Rank 0 | Global Episode: 8 | Episode Reward: 81.94 | Local step: 9 | Global worker step: 47 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,093 - INFO - Rank 0 | Global Episode: 9 | Episode Reward: 35.80 | Local step: 4 | Global worker step: 51 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,096 - INFO - Rank 0 | Global Episode: 10 | Episode Reward: 63.31 | Local step: 7 | Global worker step: 58 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,097 - INFO - Rank 0 | Global Episode: 11 | Episode Reward: 35.78 | Local step: 4 | Global worker step: 62 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,099 - INFO - Rank 0 | Global Episode: 12 | Episode Reward: 54.92 | Local step: 6 | Global worker step: 68 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,101 - INFO - Rank 0 | Global Episode: 13 | Episode Reward: 54.65 | Local step: 6 | Global worker step: 74 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,103 - INFO - Rank 0 | Global Episode: 14 | Episode Reward: 54.60 | Local step: 6 | Global worker step: 80 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,106 - INFO - Rank 0 | Global Episode: 15 | Episode Reward: 36.26 | Local step: 4 | Global worker step: 84 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,111 - INFO - Rank 0 | Global Episode: 16 | Episode Reward: 101.31 | Local step: 11 | Global worker step: 95 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,113 - INFO - Rank 0 | Global Episode: 17 | Episode Reward: 53.95 | Local step: 6 | Global worker step: 101 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,116 - INFO - Rank 0 | Global Episode: 18 | Episode Reward: 63.97 | Local step: 7 | Global worker step: 108 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,118 - INFO - Rank 0 | Global Episode: 19 | Episode Reward: 64.07 | Local step: 7 | Global worker step: 115 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,120 - INFO - Rank 0 | Global Episode: 20 | Episode Reward: 36.08 | Local step: 4 | Global worker step: 119 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,121 - INFO - Rank 0 | Global Episode: 21 | Episode Reward: 45.39 | Local step: 5 | Global worker step: 124 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,123 - INFO - Rank 0 | Global Episode: 22 | Episode Reward: 45.00 | Local step: 5 | Global worker step: 129 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,125 - INFO - Rank 0 | Global Episode: 23 | Episode Reward: 45.09 | Local step: 5 | Global worker step: 134 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,127 - INFO - Rank 0 | Global Episode: 24 | Episode Reward: 36.01 | Local step: 4 | Global worker step: 138 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,131 - INFO - Rank 0 | Global Episode: 25 | Episode Reward: 73.02 | Local step: 8 | Global worker step: 146 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,134 - INFO - Rank 0 | Global Episode: 26 | Episode Reward: 44.91 | Local step: 5 | Global worker step: 151 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,136 - INFO - Rank 0 | Global Episode: 27 | Episode Reward: 54.36 | Local step: 6 | Global worker step: 157 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,138 - INFO - Rank 0 | Global Episode: 28 | Episode Reward: 54.84 | Local step: 6 | Global worker step: 163 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,140 - INFO - Rank 0 | Global Episode: 29 | Episode Reward: 36.01 | Local step: 4 | Global worker step: 167 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,143 - INFO - Rank 0 | Global Episode: 30 | Episode Reward: 35.69 | Local step: 4 | Global worker step: 171 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,145 - INFO - Rank 0 | Global Episode: 31 | Episode Reward: 45.07 | Local step: 5 | Global worker step: 176 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,148 - INFO - Rank 0 | Global Episode: 32 | Episode Reward: 45.46 | Local step: 5 | Global worker step: 181 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,151 - INFO - Rank 0 | Global Episode: 33 | Episode Reward: 54.54 | Local step: 6 | Global worker step: 187 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,154 - INFO - Rank 0 | Global Episode: 34 | Episode Reward: 54.34 | Local step: 6 | Global worker step: 193 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,156 - INFO - Rank 0 | Global Episode: 35 | Episode Reward: 45.26 | Local step: 5 | Global worker step: 198 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,158 - INFO - Rank 0 | Global Episode: 36 | Episode Reward: 82.98 | Local step: 9 | Global worker step: 207 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,161 - INFO - Rank 0 | Global Episode: 37 | Episode Reward: 82.54 | Local step: 9 | Global worker step: 216 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,163 - INFO - Rank 0 | Global Episode: 38 | Episode Reward: 44.71 | Local step: 5 | Global worker step: 221 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,165 - INFO - Rank 0 | Global Episode: 39 | Episode Reward: 36.18 | Local step: 4 | Global worker step: 225 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,167 - INFO - Rank 0 | Global Episode: 40 | Episode Reward: 82.09 | Local step: 9 | Global worker step: 234 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,169 - INFO - Rank 0 | Global Episode: 41 | Episode Reward: 35.83 | Local step: 4 | Global worker step: 238 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,173 - INFO - Rank 0 | Global Episode: 42 | Episode Reward: 82.14 | Local step: 9 | Global worker step: 247 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,176 - INFO - Rank 0 | Global Episode: 43 | Episode Reward: 54.33 | Local step: 6 | Global worker step: 253 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,178 - INFO - Rank 0 | Global Episode: 44 | Episode Reward: 35.98 | Local step: 4 | Global worker step: 257 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,181 - INFO - Rank 0 | Global Episode: 45 | Episode Reward: 72.90 | Local step: 8 | Global worker step: 265 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,183 - INFO - Rank 0 | Global Episode: 46 | Episode Reward: 54.71 | Local step: 6 | Global worker step: 271 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,185 - INFO - Rank 0 | Global Episode: 47 | Episode Reward: 36.08 | Local step: 4 | Global worker step: 275 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
2022-09-26 15:56:16,187 - INFO - Rank 0 | Global Episode: 48 | Episode Reward: 35.78 | Local step: 4 | Global worker step: 279 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:02
