2022-09-28 20:48:26,295 - INFO - Rank 0 | Global Episode: 1 | Episode Reward: 3560.36 | Local step: 1000 | Global worker step: 1000 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:04
2022-09-28 20:48:27,480 - INFO - Rank 0 | Global Episode: 2 | Episode Reward: 3546.38 | Local step: 1000 | Global worker step: 2000 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:05
2022-09-28 20:48:28,670 - INFO - Rank 0 | Global Episode: 3 | Episode Reward: 3570.70 | Local step: 1000 | Global worker step: 3000 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:06
2022-09-28 20:48:29,893 - INFO - Rank 0 | Global Episode: 4 | Episode Reward: 3581.38 | Local step: 1000 | Global worker step: 4000 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:07
2022-09-28 20:48:31,317 - INFO - Rank 0 | Global Episode: 5 | Episode Reward: 3568.81 | Local step: 1000 | Global worker step: 5000 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:09
2022-09-28 20:48:31,725 - INFO - Rank 0 | Global Episode: 6 | Episode Reward: 3551.06 | Local step: 1000 | Global worker step: 6000 | Update step: 0 | Worker id: 1 | Elapsed time: 00:00:09
2022-09-28 20:48:32,804 - INFO - Rank 0 | Global Episode: 7 | Episode Reward: 3580.04 | Local step: 1000 | Global worker step: 7000 | Update step: 0 | Worker id: 0 | Elapsed time: 00:00:10
2022-09-28 20:48:42,627 - INFO - Rank 0 | Global Episode: 8 | Episode Reward: 3563.67 | Local step: 1000 | Global worker step: 8000 | Update step: 381 | Worker id: 3 | Elapsed time: 00:00:20
2022-09-28 20:48:44,906 - INFO - Rank 0 | Global Episode: 9 | Episode Reward: 3608.50 | Local step: 1000 | Global worker step: 9000 | Update step: 466 | Worker id: 3 | Elapsed time: 00:00:22
2022-09-28 20:48:47,505 - INFO - Rank 0 | Global Episode: 10 | Episode Reward: 3556.03 | Local step: 1000 | Global worker step: 10000 | Update step: 551 | Worker id: 3 | Elapsed time: 00:00:25
2022-09-28 20:48:48,161 - INFO - Rank 0 | Global Episode: 11 | Episode Reward: 3581.55 | Local step: 1000 | Global worker step: 11000 | Update step: 572 | Worker id: 4 | Elapsed time: 00:00:25
2022-09-28 20:48:50,169 - INFO - Rank 0 | Global Episode: 12 | Episode Reward: 3582.26 | Local step: 1000 | Global worker step: 12000 | Update step: 635 | Worker id: 3 | Elapsed time: 00:00:27
2022-09-28 20:48:50,876 - INFO - Rank 0 | Global Episode: 13 | Episode Reward: 3577.80 | Local step: 1000 | Global worker step: 13000 | Update step: 656 | Worker id: 4 | Elapsed time: 00:00:28
2022-09-28 20:48:52,964 - INFO - Rank 0 | Global Episode: 14 | Episode Reward: 3565.41 | Local step: 1000 | Global worker step: 14000 | Update step: 713 | Worker id: 3 | Elapsed time: 00:00:30
2022-09-28 20:48:53,459 - INFO - Rank 0 | Global Episode: 15 | Episode Reward: 3580.59 | Local step: 1000 | Global worker step: 15000 | Update step: 726 | Worker id: 5 | Elapsed time: 00:00:31
2022-09-28 20:48:53,715 - INFO - Rank 0 | Global Episode: 16 | Episode Reward: 3582.95 | Local step: 1000 | Global worker step: 16000 | Update step: 734 | Worker id: 4 | Elapsed time: 00:00:31
2022-09-28 20:48:55,601 - INFO - Rank 0 | Global Episode: 17 | Episode Reward: 3559.68 | Local step: 1000 | Global worker step: 17000 | Update step: 785 | Worker id: 1 | Elapsed time: 00:00:33
2022-09-28 20:48:55,854 - INFO - Rank 0 | Global Episode: 18 | Episode Reward: 3562.04 | Local step: 1000 | Global worker step: 18000 | Update step: 791 | Worker id: 3 | Elapsed time: 00:00:33
2022-09-28 20:48:56,360 - INFO - Rank 0 | Global Episode: 19 | Episode Reward: 3583.74 | Local step: 1000 | Global worker step: 19000 | Update step: 805 | Worker id: 5 | Elapsed time: 00:00:34
2022-09-28 20:48:56,620 - INFO - Rank 0 | Global Episode: 20 | Episode Reward: 3598.25 | Local step: 1000 | Global worker step: 20000 | Update step: 813 | Worker id: 4 | Elapsed time: 00:00:34
2022-09-28 20:48:58,725 - INFO - Rank 0 | Global Episode: 21 | Episode Reward: 3583.28 | Local step: 1000 | Global worker step: 21000 | Update step: 870 | Worker id: 3 | Elapsed time: 00:00:36
2022-09-28 20:48:59,209 - INFO - Rank 0 | Global Episode: 22 | Episode Reward: 3720.83 | Local step: 988 | Global worker step: 21988 | Update step: 884 | Worker id: 5 | Elapsed time: 00:00:36
2022-09-28 20:48:59,521 - INFO - Rank 0 | Global Episode: 23 | Episode Reward: 3569.48 | Local step: 1000 | Global worker step: 22988 | Update step: 893 | Worker id: 4 | Elapsed time: 00:00:37
2022-09-28 20:49:01,660 - INFO - Rank 0 | Global Episode: 24 | Episode Reward: 3581.60 | Local step: 1000 | Global worker step: 23988 | Update step: 952 | Worker id: 3 | Elapsed time: 00:00:39
2022-09-28 20:49:02,165 - INFO - Rank 0 | Global Episode: 25 | Episode Reward: 3576.45 | Local step: 1000 | Global worker step: 24988 | Update step: 966 | Worker id: 5 | Elapsed time: 00:00:39
2022-09-28 20:49:02,460 - INFO - Rank 0 | Global Episode: 26 | Episode Reward: 3572.83 | Local step: 1000 | Global worker step: 25988 | Update step: 974 | Worker id: 4 | Elapsed time: 00:00:40
2022-09-28 20:49:04,637 - INFO - Rank 0 | Global Episode: 27 | Episode Reward: 3576.04 | Local step: 1000 | Global worker step: 26988 | Update step: 1033 | Worker id: 3 | Elapsed time: 00:00:42
2022-09-28 20:49:05,135 - INFO - Rank 0 | Global Episode: 28 | Episode Reward: 3568.15 | Local step: 1000 | Global worker step: 27988 | Update step: 1047 | Worker id: 5 | Elapsed time: 00:00:42
2022-09-28 20:49:05,432 - INFO - Rank 0 | Global Episode: 29 | Episode Reward: 3544.44 | Local step: 1000 | Global worker step: 28988 | Update step: 1055 | Worker id: 4 | Elapsed time: 00:00:43
2022-09-28 20:49:07,629 - INFO - Rank 0 | Global Episode: 30 | Episode Reward: 3556.45 | Local step: 1000 | Global worker step: 29988 | Update step: 1114 | Worker id: 3 | Elapsed time: 00:00:45
2022-09-28 20:49:08,129 - INFO - Rank 0 | Global Episode: 31 | Episode Reward: 3578.50 | Local step: 1000 | Global worker step: 30988 | Update step: 1128 | Worker id: 5 | Elapsed time: 00:00:45
2022-09-28 20:49:08,469 - INFO - Rank 0 | Global Episode: 32 | Episode Reward: 3575.10 | Local step: 1000 | Global worker step: 31988 | Update step: 1137 | Worker id: 4 | Elapsed time: 00:00:46
2022-09-28 20:49:10,597 - INFO - Rank 0 | Global Episode: 33 | Episode Reward: 3561.58 | Local step: 1000 | Global worker step: 32988 | Update step: 1195 | Worker id: 3 | Elapsed time: 00:00:48
2022-09-28 20:49:11,099 - INFO - Rank 0 | Global Episode: 34 | Episode Reward: 3561.72 | Local step: 1000 | Global worker step: 33988 | Update step: 1210 | Worker id: 5 | Elapsed time: 00:00:48
2022-09-28 20:49:11,421 - INFO - Rank 0 | Global Episode: 35 | Episode Reward: 3572.60 | Local step: 1000 | Global worker step: 34988 | Update step: 1219 | Worker id: 4 | Elapsed time: 00:00:49
2022-09-28 20:49:13,493 - INFO - Rank 0 | Global Episode: 36 | Episode Reward: 3580.94 | Local step: 1000 | Global worker step: 35988 | Update step: 1274 | Worker id: 3 | Elapsed time: 00:00:51
2022-09-28 20:49:13,994 - INFO - Rank 0 | Global Episode: 37 | Episode Reward: 3566.40 | Local step: 1000 | Global worker step: 36988 | Update step: 1287 | Worker id: 5 | Elapsed time: 00:00:51
2022-09-28 20:49:14,421 - INFO - Rank 0 | Global Episode: 38 | Episode Reward: 3591.26 | Local step: 1000 | Global worker step: 37988 | Update step: 1296 | Worker id: 4 | Elapsed time: 00:00:52
2022-09-28 20:49:16,702 - INFO - Rank 0 | Global Episode: 39 | Episode Reward: 3574.08 | Local step: 1000 | Global worker step: 38988 | Update step: 1354 | Worker id: 3 | Elapsed time: 00:00:54
2022-09-28 20:49:17,209 - INFO - Rank 0 | Global Episode: 40 | Episode Reward: 3563.73 | Local step: 1000 | Global worker step: 39988 | Update step: 1368 | Worker id: 5 | Elapsed time: 00:00:54
2022-09-28 20:49:17,532 - INFO - Rank 0 | Global Episode: 41 | Episode Reward: 3567.25 | Local step: 1000 | Global worker step: 40988 | Update step: 1377 | Worker id: 4 | Elapsed time: 00:00:55
2022-09-28 20:49:19,896 - INFO - Rank 0 | Global Episode: 42 | Episode Reward: 3578.07 | Local step: 1000 | Global worker step: 41988 | Update step: 1434 | Worker id: 3 | Elapsed time: 00:00:57
2022-09-28 20:49:20,417 - INFO - Rank 0 | Global Episode: 43 | Episode Reward: 3578.38 | Local step: 1000 | Global worker step: 42988 | Update step: 1449 | Worker id: 5 | Elapsed time: 00:00:58
2022-09-28 20:49:20,775 - INFO - Rank 0 | Global Episode: 44 | Episode Reward: 3585.22 | Local step: 1000 | Global worker step: 43988 | Update step: 1458 | Worker id: 4 | Elapsed time: 00:00:58
2022-09-28 20:49:23,051 - INFO - Rank 0 | Global Episode: 45 | Episode Reward: 3550.30 | Local step: 1000 | Global worker step: 44988 | Update step: 1517 | Worker id: 3 | Elapsed time: 00:01:00
