2022-09-29 12:23:04,851 - ERROR - Rank 0 | Episode Reward: 9905.85 | Success cnt: 10 | Local Step: 1000 | Global Episode: 15 | Global Worker Step: 15000
2022-09-29 12:26:14,680 - ERROR - Rank 0 | Episode Reward: 9935.01 | Success cnt: 10 | Local Step: 1000 | Global Episode: 25 | Global Worker Step: 25000
2022-09-29 12:29:23,987 - ERROR - Rank 0 | Episode Reward: 9821.43 | Success cnt: 10 | Local Step: 1000 | Global Episode: 33 | Global Worker Step: 33000
2022-09-29 12:33:27,339 - ERROR - Rank 0 | Episode Reward: 9703.24 | Success cnt: 10 | Local Step: 1000 | Global Episode: 46 | Global Worker Step: 46000
2022-09-29 12:36:36,561 - ERROR - Rank 0 | Episode Reward: 9888.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 56 | Global Worker Step: 56000
2022-09-29 12:39:46,505 - ERROR - Rank 0 | Episode Reward: 9917.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 64 | Global Worker Step: 64000
2022-09-29 12:43:53,141 - ERROR - Rank 0 | Episode Reward: 9854.43 | Success cnt: 10 | Local Step: 1000 | Global Episode: 77 | Global Worker Step: 77000
2022-09-29 12:47:13,239 - ERROR - Rank 0 | Episode Reward: 9865.31 | Success cnt: 10 | Local Step: 1000 | Global Episode: 87 | Global Worker Step: 87000
2022-09-29 12:50:29,727 - ERROR - Rank 0 | Episode Reward: 9956.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 96 | Global Worker Step: 96000
2022-09-29 12:53:51,848 - ERROR - Rank 0 | Episode Reward: 9957.39 | Success cnt: 10 | Local Step: 1000 | Global Episode: 105 | Global Worker Step: 105000
2022-09-29 12:57:22,522 - ERROR - Rank 0 | Episode Reward: 9845.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 115 | Global Worker Step: 115000
2022-09-29 13:00:47,601 - ERROR - Rank 0 | Episode Reward: 9817.41 | Success cnt: 10 | Local Step: 1000 | Global Episode: 125 | Global Worker Step: 125000
2022-09-29 13:04:24,884 - ERROR - Rank 0 | Episode Reward: 9764.87 | Success cnt: 10 | Local Step: 1000 | Global Episode: 135 | Global Worker Step: 135000
2022-09-29 13:08:31,030 - ERROR - Rank 0 | Episode Reward: 9789.32 | Success cnt: 10 | Local Step: 1000 | Global Episode: 145 | Global Worker Step: 145000
2022-09-29 13:13:04,227 - ERROR - Rank 0 | Episode Reward: 9938.18 | Success cnt: 10 | Local Step: 1000 | Global Episode: 156 | Global Worker Step: 156000
2022-09-29 13:17:37,854 - ERROR - Rank 0 | Episode Reward: 9952.62 | Success cnt: 10 | Local Step: 1000 | Global Episode: 167 | Global Worker Step: 167000
2022-09-29 13:20:52,370 - ERROR - Rank 0 | Episode Reward: 9873.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 176 | Global Worker Step: 176000
2022-09-29 13:23:59,731 - ERROR - Rank 0 | Episode Reward: 9840.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 185 | Global Worker Step: 185000
2022-09-29 13:27:10,483 - ERROR - Rank 0 | Episode Reward: 9886.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 195 | Global Worker Step: 195000
2022-09-29 13:30:18,746 - ERROR - Rank 0 | Episode Reward: 9905.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 204 | Global Worker Step: 204000
2022-09-29 13:34:19,976 - ERROR - Rank 0 | Episode Reward: 9946.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 216 | Global Worker Step: 216000
2022-09-29 13:37:32,310 - ERROR - Rank 0 | Episode Reward: 9853.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 226 | Global Worker Step: 226000
2022-09-29 13:40:42,210 - ERROR - Rank 0 | Episode Reward: 9893.35 | Success cnt: 10 | Local Step: 1000 | Global Episode: 235 | Global Worker Step: 235000
2022-09-29 13:43:50,091 - ERROR - Rank 0 | Episode Reward: 9959.08 | Success cnt: 10 | Local Step: 1000 | Global Episode: 244 | Global Worker Step: 244000
2022-09-29 13:47:49,838 - ERROR - Rank 0 | Episode Reward: 9963.15 | Success cnt: 10 | Local Step: 1000 | Global Episode: 257 | Global Worker Step: 257000
2022-09-29 13:50:58,161 - ERROR - Rank 0 | Episode Reward: 9865.87 | Success cnt: 10 | Local Step: 1000 | Global Episode: 266 | Global Worker Step: 266000
2022-09-29 13:54:06,428 - ERROR - Rank 0 | Episode Reward: 9092.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 275 | Global Worker Step: 275000
2022-09-29 13:57:19,403 - ERROR - Rank 0 | Episode Reward: 9888.26 | Success cnt: 10 | Local Step: 1000 | Global Episode: 285 | Global Worker Step: 285000
2022-09-29 14:00:27,103 - ERROR - Rank 0 | Episode Reward: 9857.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 294 | Global Worker Step: 294000
2022-09-29 14:04:27,833 - ERROR - Rank 0 | Episode Reward: 9765.06 | Success cnt: 10 | Local Step: 1000 | Global Episode: 306 | Global Worker Step: 306000
2022-09-29 14:07:38,087 - ERROR - Rank 0 | Episode Reward: 9932.43 | Success cnt: 10 | Local Step: 1000 | Global Episode: 316 | Global Worker Step: 316000
2022-09-29 14:10:46,429 - ERROR - Rank 0 | Episode Reward: 9791.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 325 | Global Worker Step: 325000
2022-09-29 14:13:54,395 - ERROR - Rank 0 | Episode Reward: 9848.38 | Success cnt: 10 | Local Step: 1000 | Global Episode: 334 | Global Worker Step: 334000
2022-09-29 14:17:55,770 - ERROR - Rank 0 | Episode Reward: 9943.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 347 | Global Worker Step: 347000
2022-09-29 14:21:04,802 - ERROR - Rank 0 | Episode Reward: 9913.02 | Success cnt: 10 | Local Step: 1000 | Global Episode: 356 | Global Worker Step: 356000
2022-09-29 14:24:14,564 - ERROR - Rank 0 | Episode Reward: 9836.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 365 | Global Worker Step: 365000
