2022-10-02 02:14:18,993 - ERROR - Rank 0 | Episode Reward: 3547.82 | Success cnt: 9 | Local Step: 1000 | Global Episode: 6 | Global Worker Step: 5906
2022-10-02 02:16:43,314 - ERROR - Rank 0 | Episode Reward: 3583.44 | Success cnt: 10 | Local Step: 1000 | Global Episode: 13 | Global Worker Step: 12809
2022-10-02 02:19:07,528 - ERROR - Rank 0 | Episode Reward: 3574.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 20 | Global Worker Step: 19809
2022-10-02 02:21:31,818 - ERROR - Rank 0 | Episode Reward: 3564.54 | Success cnt: 9 | Local Step: 1000 | Global Episode: 25 | Global Worker Step: 24809
2022-10-02 02:23:54,650 - ERROR - Rank 0 | Episode Reward: 3506.69 | Success cnt: 9 | Local Step: 1000 | Global Episode: 32 | Global Worker Step: 31809
2022-10-02 02:26:21,818 - ERROR - Rank 0 | Episode Reward: 3585.52 | Success cnt: 10 | Local Step: 1000 | Global Episode: 39 | Global Worker Step: 38809
2022-10-02 02:28:45,313 - ERROR - Rank 0 | Episode Reward: 3555.40 | Success cnt: 9 | Local Step: 1000 | Global Episode: 46 | Global Worker Step: 45809
2022-10-02 02:31:12,364 - ERROR - Rank 0 | Episode Reward: 3584.60 | Success cnt: 10 | Local Step: 1000 | Global Episode: 53 | Global Worker Step: 52536
2022-10-02 02:33:38,037 - ERROR - Rank 0 | Episode Reward: 3590.02 | Success cnt: 10 | Local Step: 1000 | Global Episode: 59 | Global Worker Step: 58536
2022-10-02 02:36:03,825 - ERROR - Rank 0 | Episode Reward: 3565.90 | Success cnt: 10 | Local Step: 1000 | Global Episode: 65 | Global Worker Step: 64536
2022-10-02 02:38:28,401 - ERROR - Rank 0 | Episode Reward: 3574.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 72 | Global Worker Step: 71515
2022-10-02 02:40:54,391 - ERROR - Rank 0 | Episode Reward: 3567.75 | Success cnt: 10 | Local Step: 1000 | Global Episode: 79 | Global Worker Step: 78195
2022-10-02 02:43:19,529 - ERROR - Rank 0 | Episode Reward: 3582.49 | Success cnt: 10 | Local Step: 1000 | Global Episode: 86 | Global Worker Step: 85195
2022-10-02 02:45:44,857 - ERROR - Rank 0 | Episode Reward: 3574.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 92 | Global Worker Step: 91195
2022-10-02 02:48:09,577 - ERROR - Rank 0 | Episode Reward: 3577.38 | Success cnt: 10 | Local Step: 1000 | Global Episode: 98 | Global Worker Step: 97195
2022-10-02 02:50:35,076 - ERROR - Rank 0 | Episode Reward: 3516.94 | Success cnt: 9 | Local Step: 1000 | Global Episode: 105 | Global Worker Step: 104083
2022-10-02 02:53:01,742 - ERROR - Rank 0 | Episode Reward: 3577.04 | Success cnt: 10 | Local Step: 1000 | Global Episode: 112 | Global Worker Step: 111083
2022-10-02 02:55:27,685 - ERROR - Rank 0 | Episode Reward: 3504.82 | Success cnt: 9 | Local Step: 1000 | Global Episode: 119 | Global Worker Step: 117723
2022-10-02 02:57:52,915 - ERROR - Rank 0 | Episode Reward: 3564.43 | Success cnt: 10 | Local Step: 1000 | Global Episode: 125 | Global Worker Step: 123723
2022-10-02 03:00:18,968 - ERROR - Rank 0 | Episode Reward: 3578.77 | Success cnt: 10 | Local Step: 1000 | Global Episode: 132 | Global Worker Step: 130723
2022-10-02 03:02:43,649 - ERROR - Rank 0 | Episode Reward: 3568.32 | Success cnt: 10 | Local Step: 1000 | Global Episode: 138 | Global Worker Step: 136723
2022-10-02 03:05:08,887 - ERROR - Rank 0 | Episode Reward: 3576.23 | Success cnt: 10 | Local Step: 1000 | Global Episode: 145 | Global Worker Step: 143428
2022-10-02 03:07:34,059 - ERROR - Rank 0 | Episode Reward: 3573.31 | Success cnt: 10 | Local Step: 1000 | Global Episode: 152 | Global Worker Step: 150428
2022-10-02 03:09:58,639 - ERROR - Rank 0 | Episode Reward: 3575.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 158 | Global Worker Step: 156428
2022-10-02 03:12:26,254 - ERROR - Rank 0 | Episode Reward: 3595.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 164 | Global Worker Step: 162428
2022-10-02 03:14:50,902 - ERROR - Rank 0 | Episode Reward: 3572.19 | Success cnt: 10 | Local Step: 1000 | Global Episode: 171 | Global Worker Step: 169428
2022-10-02 03:17:15,965 - ERROR - Rank 0 | Episode Reward: 3578.89 | Success cnt: 10 | Local Step: 1000 | Global Episode: 178 | Global Worker Step: 176428
2022-10-02 03:19:42,395 - ERROR - Rank 0 | Episode Reward: 3577.16 | Success cnt: 10 | Local Step: 1000 | Global Episode: 185 | Global Worker Step: 183428
2022-10-02 03:22:07,679 - ERROR - Rank 0 | Episode Reward: 3583.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 191 | Global Worker Step: 189428
2022-10-02 03:24:35,643 - ERROR - Rank 0 | Episode Reward: 3573.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 197 | Global Worker Step: 195428
2022-10-02 03:27:01,066 - ERROR - Rank 0 | Episode Reward: 3567.88 | Success cnt: 10 | Local Step: 1000 | Global Episode: 204 | Global Worker Step: 202428
2022-10-02 03:29:26,168 - ERROR - Rank 0 | Episode Reward: 3569.73 | Success cnt: 10 | Local Step: 1000 | Global Episode: 211 | Global Worker Step: 209428
2022-10-02 03:31:51,249 - ERROR - Rank 0 | Episode Reward: 3562.58 | Success cnt: 10 | Local Step: 1000 | Global Episode: 218 | Global Worker Step: 216350
2022-10-02 03:34:18,474 - ERROR - Rank 0 | Episode Reward: 3575.27 | Success cnt: 10 | Local Step: 1000 | Global Episode: 224 | Global Worker Step: 222350
2022-10-02 03:36:45,662 - ERROR - Rank 0 | Episode Reward: 3570.20 | Success cnt: 9 | Local Step: 1000 | Global Episode: 230 | Global Worker Step: 228350
2022-10-02 03:39:10,880 - ERROR - Rank 0 | Episode Reward: 3589.39 | Success cnt: 10 | Local Step: 1000 | Global Episode: 237 | Global Worker Step: 235350
